gender,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade,gender_encoded,parental_education_encoded,grade_encoded
male,high school,1,0,51.0,73.0,100.0,60.0,284.0,B,2,1.0,3.0
male,high school,1,0,32.0,100.0,77.0,61.0,270.0,B,2,1.0,3.0
male,high school,1,0,75.0,86.0,73.0,79.0,313.0,B,2,1.0,3.0
male,associate's degree,0,1,60.0,53.0,82.0,71.0,266.0,B,2,3.0,3.0
male,some college,1,0,20.0,76.0,63.0,71.0,230.0,C,2,2.0,2.0
male,bachelor's degree,1,1,85.0,82.0,80.0,72.0,319.0,B,2,4.0,3.0
male,associate's degree,1,0,81.0,88.0,100.0,100.0,369.0,A,2,3.0,4.0
male,associate's degree,1,0,98.0,40.0,32.0,51.0,221.0,C,2,3.0,2.0
male,master's degree,1,1,72.0,90.0,61.0,65.0,288.0,B,2,5.0,3.0
male,master's degree,1,0,83.0,89.0,56.0,74.0,302.0,B,2,5.0,3.0
male,some college,1,0,100.0,62.0,32.0,74.0,268.0,B,2,2.0,3.0
male,high school,0,0,24.0,86.0,68.0,52.0,230.0,C,2,1.0,2.0
male,high school,1,0,71.0,90.0,68.0,72.0,301.0,B,2,1.0,3.0
male,some college,1,0,20.0,73.0,100.0,56.0,249.0,C,2,2.0,2.0
male,associate's degree,1,0,23.0,57.0,65.0,65.0,210.0,C,2,3.0,2.0
male,associate's degree,0,1,82.0,30.0,53.0,75.0,240.0,C,2,3.0,2.0
male,some college,1,0,49.0,30.0,53.0,33.0,165.0,D,2,2.0,1.0
male,master's degree,1,0,35.0,62.0,33.0,46.0,176.0,D,2,5.0,1.0
male,some college,0,0,55.0,58.0,98.0,74.0,285.0,B,2,2.0,3.0
male,high school,1,0,32.0,100.0,78.0,36.0,246.0,C,2,1.0,2.0
male,high school,0,0,19.0,60.0,25.0,78.0,182.0,D,2,1.0,1.0
male,bachelor's degree,1,1,47.0,70.0,100.0,90.0,307.0,B,2,4.0,3.0
male,high school,0,1,48.0,76.0,80.0,100.0,304.0,B,2,1.0,3.0
male,master's degree,1,0,29.0,77.0,44.0,79.0,229.0,C,2,5.0,2.0
male,bachelor's degree,1,0,34.0,70.0,41.0,53.0,198.0,D,2,4.0,1.0
male,associate's degree,1,0,74.0,69.0,26.0,60.0,229.0,C,2,3.0,2.0
male,some college,1,0,44.0,90.0,58.0,72.0,264.0,B,2,2.0,3.0
male,some college,1,1,28.0,82.0,87.0,52.0,249.0,C,2,2.0,2.0
male,master's degree,1,0,72.0,76.0,49.0,88.0,285.0,B,2,5.0,3.0
male,some college,1,1,43.0,82.0,50.0,56.0,231.0,C,2,2.0,2.0
male,some college,1,0,71.0,65.0,59.0,60.0,255.0,B,2,2.0,3.0
male,some college,1,1,62.0,58.0,45.0,33.0,198.0,D,2,2.0,1.0
male,some college,1,0,42.0,60.0,80.0,74.0,256.0,B,2,2.0,3.0
male,associate's degree,0,0,43.0,86.0,83.0,93.0,305.0,B,2,3.0,3.0
male,high school,0,1,21.0,60.0,18.0,66.0,165.0,D,2,1.0,1.0
male,high school,1,0,72.0,86.0,23.0,62.0,243.0,C,2,1.0,2.0
male,associate's degree,0,0,93.0,85.0,30.0,79.0,287.0,B,2,3.0,3.0
male,high school,1,0,66.0,91.0,95.0,59.0,311.0,B,2,1.0,3.0
male,some college,1,1,65.0,65.0,64.0,27.0,221.0,C,2,2.0,2.0
male,master's degree,0,0,47.0,64.0,54.0,23.0,188.0,D,2,5.0,1.0
male,high school,0,0,0.0,37.0,62.0,94.0,193.0,D,2,1.0,1.0
male,associate's degree,1,1,25.0,78.0,69.0,36.0,208.0,C,2,3.0,2.0
male,associate's degree,1,1,78.0,82.0,62.0,15.0,237.0,C,2,3.0,2.0
male,high school,0,0,82.0,84.0,82.0,79.0,327.0,A,2,1.0,4.0
male,some college,1,1,46.0,98.0,96.0,100.0,340.0,A,2,2.0,4.0
male,some college,1,0,13.0,100.0,68.0,10.0,191.0,D,2,2.0,1.0
male,bachelor's degree,1,0,28.0,79.0,71.0,42.0,220.0,C,2,4.0,2.0
male,some college,1,0,35.0,74.0,58.0,51.0,218.0,C,2,2.0,2.0
male,associate's degree,1,1,39.0,64.0,93.0,77.0,273.0,B,2,3.0,3.0
male,high school,1,1,51.0,69.0,68.0,36.0,224.0,C,2,1.0,2.0
male,master's degree,0,0,71.0,89.0,71.0,83.0,314.0,B,2,5.0,3.0
male,high school,0,0,45.0,65.0,37.0,50.0,197.0,D,2,1.0,1.0
male,high school,1,1,57.0,60.0,56.0,52.0,225.0,C,2,1.0,2.0
male,bachelor's degree,1,1,44.0,89.0,100.0,88.0,321.0,A,2,4.0,4.0
male,high school,1,0,20.0,69.0,78.0,61.0,228.0,C,2,1.0,2.0
male,associate's degree,1,0,54.0,95.0,71.0,80.0,300.0,B,2,3.0,3.0
male,associate's degree,0,0,28.0,53.0,84.0,38.0,203.0,C,2,3.0,2.0
male,some college,1,0,21.0,47.0,55.0,49.0,172.0,D,2,2.0,1.0
male,high school,1,1,66.0,91.0,40.0,40.0,237.0,C,2,1.0,2.0
male,associate's degree,1,1,18.0,95.0,72.0,49.0,234.0,C,2,3.0,2.0
male,some college,1,0,70.0,59.0,29.0,50.0,208.0,C,2,2.0,2.0
male,high school,1,0,30.0,63.0,76.0,48.0,217.0,C,2,1.0,2.0
male,associate's degree,1,0,98.0,68.0,100.0,69.0,335.0,A,2,3.0,4.0
male,associate's degree,0,0,85.0,98.0,64.0,73.0,320.0,A,2,3.0,4.0
male,high school,1,0,75.0,90.0,51.0,91.0,307.0,B,2,1.0,3.0
male,master's degree,0,1,97.0,100.0,69.0,58.0,324.0,A,2,5.0,4.0
male,some college,1,0,20.0,76.0,27.0,43.0,166.0,D,2,2.0,1.0
male,high school,1,1,50.0,100.0,67.0,100.0,317.0,B,2,1.0,3.0
male,some college,1,1,65.0,85.0,72.0,72.0,294.0,B,2,2.0,3.0
male,some college,0,1,23.0,100.0,92.0,67.0,282.0,B,2,2.0,3.0
male,master's degree,1,0,32.0,48.0,51.0,9.0,140.0,Fail,2,5.0,0.0
male,high school,1,0,61.0,59.0,100.0,54.0,274.0,B,2,1.0,3.0
male,high school,0,0,73.0,78.0,96.0,81.0,328.0,A,2,1.0,4.0
male,bachelor's degree,1,0,88.0,85.0,79.0,100.0,352.0,A,2,4.0,4.0
male,high school,0,1,60.0,92.0,41.0,28.0,221.0,C,2,1.0,2.0
male,bachelor's degree,1,1,25.0,82.0,80.0,94.0,281.0,B,2,4.0,3.0
male,high school,1,1,93.0,81.0,75.0,91.0,340.0,A,2,1.0,4.0
male,high school,1,0,72.0,44.0,78.0,58.0,252.0,B,2,1.0,3.0
male,some college,0,1,64.0,65.0,81.0,100.0,310.0,B,2,2.0,3.0
male,some college,1,0,41.0,72.0,88.0,64.0,265.0,B,2,2.0,3.0
male,high school,1,1,36.0,67.0,60.0,77.0,240.0,C,2,1.0,2.0
male,associate's degree,0,1,33.0,88.0,31.0,97.0,249.0,C,2,3.0,2.0
male,associate's degree,1,0,54.0,86.0,62.0,78.0,280.0,B,2,3.0,3.0
male,high school,1,1,44.0,49.0,60.0,39.0,192.0,D,2,1.0,1.0
male,master's degree,1,0,44.0,17.0,92.0,86.0,239.0,C,2,5.0,2.0
male,high school,1,0,19.0,84.0,99.0,62.0,264.0,B,2,1.0,3.0
male,master's degree,1,0,29.0,59.0,47.0,48.0,183.0,D,2,5.0,1.0
male,high school,0,1,39.0,58.0,72.0,25.0,194.0,D,2,1.0,1.0
male,some college,0,0,24.0,77.0,94.0,9.0,204.0,C,2,2.0,2.0
male,some college,1,0,76.0,91.0,100.0,41.0,308.0,B,2,2.0,3.0
male,master's degree,0,0,74.0,62.0,86.0,91.0,313.0,B,2,5.0,3.0
male,some college,1,1,65.0,62.0,63.0,56.0,246.0,C,2,2.0,2.0
male,master's degree,0,0,38.0,63.0,59.0,82.0,242.0,C,2,5.0,2.0
male,high school,1,0,71.0,58.0,56.0,73.0,258.0,B,2,1.0,3.0
male,high school,0,0,75.0,100.0,100.0,34.0,309.0,B,2,1.0,3.0
male,bachelor's degree,0,0,68.0,79.0,77.0,89.0,313.0,B,2,4.0,3.0
male,high school,1,0,34.0,91.0,64.0,44.0,233.0,C,2,1.0,2.0
male,high school,0,0,45.0,48.0,67.0,9.0,169.0,D,2,1.0,1.0
male,some college,0,1,46.0,34.0,86.0,59.0,225.0,C,2,2.0,2.0
male,some college,0,0,82.0,87.0,52.0,60.0,281.0,B,2,2.0,3.0
male,Unknown,1,0,57.0,59.0,95.0,99.0,310.0,B,2,0.0,3.0
male,master's degree,1,0,0.0,93.0,66.0,80.0,239.0,C,2,5.0,2.0
male,some college,0,0,88.0,71.0,59.0,46.0,264.0,B,2,2.0,3.0
male,bachelor's degree,1,0,27.0,100.0,72.5,82.0,281.5,B,2,4.0,3.0
male,bachelor's degree,0,1,17.0,97.0,63.0,44.0,221.0,C,2,4.0,2.0
male,some college,0,1,62.0,87.0,73.0,56.0,278.0,B,2,2.0,3.0
male,bachelor's degree,0,1,16.0,100.0,47.0,32.0,195.0,D,2,4.0,1.0
male,some college,0,0,89.0,68.0,64.0,99.0,320.0,A,2,2.0,4.0
male,associate's degree,1,0,50.0,60.0,57.0,32.0,199.0,D,2,3.0,1.0
male,high school,1,0,40.0,98.0,53.0,84.0,275.0,B,2,1.0,3.0
male,bachelor's degree,0,1,56.0,81.0,52.0,69.0,258.0,B,2,4.0,3.0
male,bachelor's degree,0,0,80.0,70.0,37.0,75.0,262.0,B,2,4.0,3.0
male,bachelor's degree,1,0,74.0,70.0,36.0,41.0,221.0,C,2,4.0,2.0
male,bachelor's degree,0,1,23.0,87.0,73.0,86.0,269.0,B,2,4.0,3.0
male,high school,1,0,53.0,51.0,73.0,87.0,264.0,B,2,1.0,3.0
male,some college,1,0,39.0,41.0,48.0,62.0,190.0,D,2,2.0,1.0
male,master's degree,0,0,30.0,69.0,93.0,91.0,283.0,B,2,5.0,3.0
male,high school,1,1,68.0,91.0,65.0,98.0,322.0,A,2,1.0,4.0
male,high school,1,1,71.0,80.0,58.0,58.0,267.0,B,2,1.0,3.0
male,associate's degree,1,0,14.0,36.0,25.0,67.0,142.0,Fail,2,3.0,0.0
male,high school,1,1,44.0,80.0,72.5,61.0,257.5,B,2,1.0,3.0
male,high school,0,0,69.0,71.0,49.0,48.0,237.0,C,2,1.0,2.0
male,high school,0,0,58.0,95.0,33.0,49.0,235.0,C,2,1.0,2.0
male,bachelor's degree,1,0,49.0,70.0,93.0,64.0,276.0,B,2,4.0,3.0
male,some college,1,1,84.0,75.0,67.0,62.0,288.0,B,2,2.0,3.0
male,Unknown,1,0,55.0,86.0,70.0,92.0,303.0,B,2,0.0,3.0
male,master's degree,1,0,49.0,90.0,55.0,94.0,288.0,B,2,5.0,3.0
male,associate's degree,1,1,41.0,72.0,63.0,97.0,273.0,B,2,3.0,3.0
male,bachelor's degree,1,1,49.0,58.0,66.0,34.0,207.0,C,2,4.0,2.0
male,some college,1,0,16.0,100.0,88.0,36.0,240.0,C,2,2.0,2.0
male,associate's degree,0,1,37.0,99.0,52.0,45.0,233.0,C,2,3.0,2.0
male,high school,1,1,87.0,57.0,65.0,60.0,269.0,B,2,1.0,3.0
male,some college,1,1,45.0,100.0,46.0,73.0,264.0,B,2,2.0,3.0
male,associate's degree,0,0,32.0,47.0,61.0,61.0,201.0,C,2,3.0,2.0
male,high school,1,1,62.0,91.0,89.0,63.0,305.0,B,2,1.0,3.0
male,high school,1,1,58.0,88.0,64.0,62.0,272.0,B,2,1.0,3.0
male,bachelor's degree,0,1,51.0,60.0,54.0,74.0,239.0,C,2,4.0,2.0
male,master's degree,1,1,45.0,51.0,56.0,74.0,226.0,C,2,5.0,2.0
male,master's degree,1,0,33.0,63.0,53.0,85.0,234.0,C,2,5.0,2.0
male,some college,1,1,50.0,91.0,78.0,35.0,254.0,B,2,2.0,3.0
male,bachelor's degree,0,0,57.0,71.0,42.0,80.0,250.0,B,2,4.0,3.0
male,high school,1,1,80.0,100.0,84.0,46.0,310.0,B,2,1.0,3.0
male,some college,0,0,69.0,37.0,37.0,87.0,230.0,C,2,2.0,2.0
male,high school,0,0,39.0,66.0,51.0,40.0,196.0,D,2,1.0,1.0
male,high school,1,1,9.0,95.0,88.0,68.0,260.0,B,2,1.0,3.0
male,master's degree,0,1,8.0,69.0,61.0,33.0,171.0,D,2,5.0,1.0
male,high school,0,0,17.0,76.0,34.0,72.0,199.0,D,2,1.0,1.0
male,bachelor's degree,0,1,33.0,54.0,63.0,57.0,207.0,C,2,4.0,2.0
male,high school,0,1,16.0,50.0,81.0,100.0,247.0,C,2,1.0,2.0
male,high school,0,0,65.0,92.0,49.0,30.0,236.0,C,2,1.0,2.0
male,high school,1,0,54.0,85.0,60.0,70.0,269.0,B,2,1.0,3.0
male,high school,1,0,19.0,62.0,58.0,74.0,213.0,C,2,1.0,2.0
male,high school,1,0,51.0,60.0,63.0,47.0,221.0,C,2,1.0,2.0
male,associate's degree,1,0,66.0,95.0,50.0,73.0,284.0,B,2,3.0,3.0
male,some college,0,0,18.0,72.0,10.0,76.0,176.0,D,2,2.0,1.0
male,master's degree,0,0,58.0,52.0,47.0,29.0,186.0,D,2,5.0,1.0
male,associate's degree,0,1,33.0,71.0,74.0,52.0,230.0,C,2,3.0,2.0
male,some college,0,0,81.0,49.0,72.5,60.0,262.5,B,2,2.0,3.0
male,some college,0,0,35.0,100.0,47.0,67.0,249.0,C,2,2.0,2.0
male,bachelor's degree,1,1,49.0,67.0,88.0,70.0,274.0,B,2,4.0,3.0
male,associate's degree,0,0,75.0,57.0,42.0,53.0,227.0,C,2,3.0,2.0
male,some college,0,1,40.0,83.0,99.0,100.0,322.0,A,2,2.0,4.0
male,bachelor's degree,1,0,79.0,100.0,62.0,63.0,304.0,B,2,4.0,3.0
male,bachelor's degree,0,1,44.0,86.0,65.0,88.0,283.0,B,2,4.0,3.0
male,bachelor's degree,1,0,20.0,46.0,65.0,15.0,146.0,Fail,2,4.0,0.0
male,high school,1,1,16.0,70.0,56.0,77.0,219.0,C,2,1.0,2.0
male,high school,0,0,65.0,45.0,56.0,45.0,211.0,C,2,1.0,2.0
male,high school,1,1,68.0,67.0,72.0,30.0,237.0,C,2,1.0,2.0
male,high school,1,1,74.0,66.0,51.0,80.0,271.0,B,2,1.0,3.0
male,some college,1,0,16.0,83.0,66.0,49.0,214.0,C,2,2.0,2.0
male,high school,1,1,65.0,43.0,84.0,13.0,205.0,C,2,1.0,2.0
male,some college,1,1,71.0,88.0,72.0,46.0,277.0,B,2,2.0,3.0
male,some college,1,1,11.0,57.0,91.0,93.0,252.0,B,2,2.0,3.0
male,associate's degree,0,0,44.0,38.0,82.0,67.0,231.0,C,2,3.0,2.0
male,some college,0,0,12.0,64.0,74.0,92.0,242.0,C,2,2.0,2.0
male,associate's degree,0,0,11.0,93.0,56.0,92.0,252.0,B,2,3.0,3.0
male,associate's degree,0,0,54.0,75.0,79.0,58.0,266.0,B,2,3.0,3.0
male,associate's degree,1,0,21.0,58.0,68.0,65.0,212.0,C,2,3.0,2.0
male,some college,1,0,48.0,74.0,58.0,52.0,232.0,C,2,2.0,2.0
male,some college,0,0,40.0,51.0,51.0,74.0,216.0,C,2,2.0,2.0
male,high school,0,0,79.0,74.0,62.0,62.0,277.0,B,2,1.0,3.0
male,bachelor's degree,1,1,77.0,72.0,94.0,63.0,306.0,B,2,4.0,3.0
male,some college,1,0,19.0,63.0,69.0,58.0,209.0,C,2,2.0,2.0
male,some college,1,0,74.0,77.0,63.0,68.0,282.0,B,2,2.0,3.0
male,some college,0,0,52.0,66.0,72.5,67.0,257.5,B,2,2.0,3.0
male,some college,1,1,51.0,71.0,61.0,80.0,263.0,B,2,2.0,3.0
male,bachelor's degree,1,1,58.0,77.0,77.0,49.0,261.0,B,2,4.0,3.0
male,bachelor's degree,1,0,39.0,79.0,62.0,49.0,229.0,C,2,4.0,2.0
male,bachelor's degree,1,0,43.0,100.0,73.0,42.0,258.0,B,2,4.0,3.0
male,Unknown,0,1,24.0,52.0,54.0,91.0,221.0,C,2,0.0,2.0
male,high school,0,0,26.0,63.0,96.0,42.0,227.0,C,2,1.0,2.0
Unknown,high school,1,1,68.0,53.0,100.0,41.0,262.0,B,0,1.0,3.0
male,high school,1,0,72.0,100.0,100.0,46.0,318.0,B,2,1.0,3.0
male,high school,0,1,43.0,81.0,89.0,68.0,281.0,B,2,1.0,3.0
male,high school,0,0,68.0,41.0,42.0,54.0,205.0,C,2,1.0,2.0
male,high school,1,0,44.0,70.0,59.0,65.0,238.0,C,2,1.0,2.0
male,some college,0,1,83.0,39.0,56.0,36.0,214.0,C,2,2.0,2.0
male,high school,1,1,60.0,80.0,74.0,71.0,285.0,B,2,1.0,3.0
male,some college,1,0,82.0,100.0,75.0,71.0,328.0,A,2,2.0,4.0
male,bachelor's degree,1,0,22.0,65.0,48.0,50.0,185.0,D,2,4.0,1.0
male,master's degree,1,1,83.0,52.0,92.0,77.0,304.0,B,2,5.0,3.0
male,high school,0,0,99.0,78.0,81.0,97.0,355.0,A,2,1.0,4.0
male,bachelor's degree,1,0,79.0,73.0,94.0,78.0,324.0,A,2,4.0,4.0
male,high school,1,0,55.0,52.0,87.0,54.0,248.0,C,2,1.0,2.0
male,associate's degree,0,0,39.0,89.0,55.0,77.0,260.0,B,2,3.0,3.0
male,some college,1,1,69.0,76.0,60.0,73.0,278.0,B,2,2.0,3.0
male,high school,1,0,50.0,65.0,59.0,64.0,238.0,C,2,1.0,2.0
male,associate's degree,0,0,89.0,74.0,70.0,67.0,300.0,B,2,3.0,3.0
male,associate's degree,1,1,60.0,93.0,63.0,47.0,263.0,B,2,3.0,3.0
male,associate's degree,1,0,53.0,94.0,92.0,63.0,302.0,B,2,3.0,3.0
male,high school,1,0,72.0,98.0,73.0,77.0,320.0,A,2,1.0,4.0
male,high school,1,1,0.0,85.0,99.0,47.0,231.0,C,2,1.0,2.0
male,high school,0,0,83.0,78.0,78.0,86.0,325.0,A,2,1.0,4.0
male,bachelor's degree,1,0,72.0,60.0,75.0,54.0,261.0,B,2,4.0,3.0
male,master's degree,1,0,49.0,88.0,75.0,42.0,254.0,B,2,5.0,3.0
male,high school,1,0,16.0,50.0,58.0,40.0,164.0,D,2,1.0,1.0
male,master's degree,1,0,78.0,60.0,50.0,75.0,263.0,B,2,5.0,3.0
male,bachelor's degree,0,1,41.0,66.0,52.0,45.0,204.0,C,2,4.0,2.0
male,associate's degree,1,0,33.0,65.0,61.0,59.0,218.0,C,2,3.0,2.0
male,some college,0,0,58.0,64.0,70.0,38.0,230.0,C,2,2.0,2.0
male,bachelor's degree,0,0,23.0,72.0,90.0,55.0,240.0,C,2,4.0,2.0
male,high school,1,0,46.0,92.0,52.0,32.0,222.0,C,2,1.0,2.0
male,high school,1,1,20.0,74.0,34.0,29.0,157.0,D,2,1.0,1.0
male,bachelor's degree,1,0,17.0,55.0,44.0,31.0,147.0,Fail,2,4.0,0.0
male,associate's degree,1,0,25.0,71.0,59.0,69.0,224.0,C,2,3.0,2.0
male,bachelor's degree,1,1,70.0,48.0,79.0,65.0,262.0,B,2,4.0,3.0
male,some college,0,0,46.0,69.0,70.0,44.0,229.0,C,2,2.0,2.0
male,some college,1,1,41.0,61.0,69.0,44.0,215.0,C,2,2.0,2.0
male,high school,1,0,69.0,36.0,65.0,94.0,264.0,B,2,1.0,3.0
male,bachelor's degree,1,0,61.0,40.0,72.0,44.0,217.0,C,2,4.0,2.0
male,high school,1,0,68.0,100.0,100.0,62.0,330.0,A,2,1.0,4.0
male,master's degree,0,0,68.0,65.0,76.0,59.0,268.0,B,2,5.0,3.0
male,associate's degree,1,0,41.0,35.0,66.0,37.0,179.0,D,2,3.0,1.0
male,bachelor's degree,1,1,24.0,33.0,47.0,11.0,115.0,Fail,2,4.0,0.0
male,bachelor's degree,0,0,48.0,94.0,100.0,49.0,291.0,B,2,4.0,3.0
male,master's degree,1,1,54.0,86.0,87.0,48.0,275.0,B,2,5.0,3.0
male,associate's degree,1,1,37.0,100.0,96.0,64.0,297.0,B,2,3.0,3.0
male,associate's degree,1,0,40.0,59.0,75.0,39.0,213.0,C,2,3.0,2.0
male,bachelor's degree,1,0,49.0,98.0,79.0,69.0,295.0,B,2,4.0,3.0
male,bachelor's degree,0,0,73.0,79.0,56.0,66.0,274.0,B,2,4.0,3.0
male,high school,0,0,67.0,100.0,64.0,80.0,311.0,B,2,1.0,3.0
male,master's degree,1,0,44.0,17.0,57.0,64.0,182.0,D,2,5.0,1.0
male,high school,0,0,47.0,85.0,65.0,25.0,222.0,C,2,1.0,2.0
male,bachelor's degree,1,0,75.0,96.0,100.0,100.0,371.0,A,2,4.0,4.0
male,associate's degree,0,1,39.0,82.0,53.0,73.0,247.0,C,2,3.0,2.0
male,high school,0,1,44.0,76.0,53.0,10.0,183.0,D,2,1.0,1.0
male,high school,1,0,37.0,100.0,70.0,87.0,294.0,B,2,1.0,3.0
male,bachelor's degree,1,1,58.0,69.0,86.0,50.0,263.0,B,2,4.0,3.0
male,bachelor's degree,1,0,72.0,62.0,48.0,82.0,264.0,B,2,4.0,3.0
male,some college,0,0,26.0,76.0,85.0,59.0,246.0,C,2,2.0,2.0
male,associate's degree,0,0,25.0,44.0,56.0,39.0,164.0,D,2,3.0,1.0
male,high school,1,0,59.0,100.0,69.0,75.0,303.0,B,2,1.0,3.0
male,high school,1,0,98.0,100.0,95.0,67.0,360.0,A,2,1.0,4.0
male,bachelor's degree,0,1,63.0,100.0,55.0,38.0,256.0,B,2,4.0,3.0
male,high school,1,0,64.0,99.0,77.0,89.0,329.0,A,2,1.0,4.0
male,some college,0,0,25.0,51.0,95.0,48.0,219.0,C,2,2.0,2.0
male,associate's degree,1,1,75.0,67.0,80.0,49.0,271.0,B,2,3.0,3.0
male,some college,0,1,17.0,68.0,69.0,23.0,177.0,D,2,2.0,1.0
male,bachelor's degree,0,1,69.0,57.0,79.0,64.0,269.0,B,2,4.0,3.0
male,master's degree,0,1,29.0,93.0,69.0,60.0,251.0,B,2,5.0,3.0
male,some college,1,0,37.0,44.0,62.0,69.0,212.0,C,2,2.0,2.0
male,associate's degree,0,0,49.0,62.0,16.0,75.0,202.0,C,2,3.0,2.0
male,associate's degree,0,1,98.0,60.0,70.0,69.0,297.0,B,2,3.0,3.0
male,master's degree,1,0,30.0,63.0,73.0,43.0,209.0,C,2,5.0,2.0
male,master's degree,0,1,71.0,100.0,73.0,40.0,284.0,B,2,5.0,3.0
male,high school,0,0,39.0,58.0,34.0,46.0,177.0,D,2,1.0,1.0
